"window","model","mae","nmae"
"incremental","lm","515.422229302738","7.49705060803982"
"incremental","mlpe","574.509496838541","8.35650177219696"
"incremental","naive","532.987929370001","7.75255169992729"
"incremental","ctree","623.525663429584","9.0694641953394"
"incremental","mlp","816.595561403364","11.8777536204126"
"incremental","randomForest","447.115239047619","6.50349438614719"
"incremental","mr","515.422227494652","7.49705058174039"
"incremental","rvm","934.153279638528","13.5876840674695"
"incremental","ksvm","439.247803406385","6.38905895863832"
"incremental","HW","464.75","6.76"
"incremental","Arima","506.66","7.37"
"incremental","NN","509.2","7.41"
"incremental","ETS","473.63","6.89"
"rolling","lm","619.169668086051","9.00610426306983"
"rolling","mlpe","484.834784793317","7.05214232426643"
"rolling","naive","532.60119047619","7.74692640692641"
"rolling","ctree","598.405916265592","8.70408605477225"
"rolling","mlp","517.109386493121","7.52159107626357"
"rolling","randomForest","415.240269047619","6.03985845887446"
"rolling","mr","619.169664993094","9.00610421808137"
"rolling","rvm","590.270989016786","8.58575984024415"
"rolling","ksvm","409.237314883969","5.95254276194864"
"rolling","HW","505.68","7.36"
"rolling","Arima","492.98","7.17"
"rolling","NN","507.61","7.38"
"rolling","ETS","455.2","6.62"
